region;civil;age;gender;pop
;;;kvinnor;294
;;55-59 år;män;252
;;;kvinnor;267
;;60-64 år;män;243
;;;kvinnor;237
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;0
;;;kvinnor;0
;;30-34 år;män;0
;;;kvinnor;0
;;35-39 år;män;0
;;;kvinnor;4
;;40-44 år;män;1
;;;kvinnor;10
;;45-49 år;män;3
;;;kvinnor;19
;;50-54 år;män;7
;;;kvinnor;21
;;55-59 år;män;14
;;;kvinnor;24
;;60-64 år;män;17
;;;kvinnor;46
0123 Järfälla;ogifta;20-24 år;män;2302
;;;kvinnor;2035
;;25-29 år;män;2388
;;;kvinnor;1762
;;30-34 år;män;1603
;;;kvinnor;1120
;;35-39 år;män;1082
;;;kvinnor;754
;;40-44 år;män;874
;;;kvinnor;675
;;45-49 år;män;731
;;;kvinnor;577
;;50-54 år;män;717
;;;kvinnor;576
;;55-59 år;män;513
;;;kvinnor;417
;;60-64 år;män;343
;;;kvinnor;260
;gifta;20-24 år;män;47
;;;kvinnor;173
;;25-29 år;män;386
;;;kvinnor;683
;;30-34 år;män;954
;;;kvinnor;1259
;;35-39 år;män;1418
;;;kvinnor;1498
;;40-44 år;män;1598
;;;kvinnor;1616
;;45-49 år;män;1513
;;;kvinnor;1486
;;50-54 år;män;1436
;;;kvinnor;1308
;;55-59 år;män;1136
;;;kvinnor;1064
;;60-64 år;män;1125
;;;kvinnor;988
;skilda;20-24 år;män;4
;;;kvinnor;8
;;25-29 år;män;54
;;;kvinnor;104
;;30-34 år;män;148
;;;kvinnor;208
;;35-39 år;män;251
;;;kvinnor;304
;;40-44 år;män;320
;;;kvinnor;421
;;45-49 år;män;379
;;;kvinnor;477
;;50-54 år;män;406
;;;kvinnor;549
;;55-59 år;män;400
;;;kvinnor;474
;;60-64 år;män;380
;;;kvinnor;453
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;1
;;25-29 år;män;1
;;;kvinnor;1
;;30-34 år;män;1
;;;kvinnor;3
;;35-39 år;män;2
;;;kvinnor;7
;;40-44 år;män;2
;;;kvinnor;19
;;45-49 år;män;8
;;;kvinnor;14
;;50-54 år;män;6
;;;kvinnor;38
;;55-59 år;män;16
;;;kvinnor;60
;;60-64 år;män;28
;;;kvinnor;105
0125 Ekerö;ogifta;20-24 år;män;620
;;;kvinnor;506
;;25-29 år;män;426
;;;kvinnor;409
;;30-34 år;män;370
;;;kvinnor;314
;;35-39 år;män;332
;;;kvinnor;356
;;40-44 år;män;351
;;;kvinnor;314
;;45-49 år;män;321
;;;kvinnor;274
;;50-54 år;män;270
;;;kvinnor;230
;;55-59 år;män;200
;;;kvinnor;146
;;60-64 år;män;132
;;;kvinnor;97
;gifta;20-24 år;män;4
;;;kvinnor;12
;;25-29 år;män;52
;;;kvinnor;92
;;30-34 år;män;193
;;;kvinnor;306
;;35-39 år;män;439
;;;kvinnor;531
;;40-44 år;män;655
;;;kvinnor;744
;;45-49 år;män;752
;;;kvinnor;749
;;50-54 år;män;688
;;;kvinnor;608
;;55-59 år;män;565
;;;kvinnor;514
;;60-64 år;män;428
;;;kvinnor;400
;skilda;20-24 år;män;0
;;;kvinnor;2
;;25-29 år;män;5
;;;kvinnor;6
;;30-34 år;män;10
;;;kvinnor;19
;;35-39 år;män;22
;;;kvinnor;46
;;40-44 år;män;70
;;;kvinnor;103
;;45-49 år;män;117
;;;kvinnor;134
;;50-54 år;män;139
;;;kvinnor;176
;;55-59 år;män;141
;;;kvinnor;148
;;60-64 år;män;110
;;;kvinnor;115
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;0
;;;kvinnor;0
;;30-34 år;män;0
;;;kvinnor;1
;;35-39 år;män;1
;;;kvinnor;0
;;40-44 år;män;1
;;;kvinnor;6
;;45-49 år;män;5
;;;kvinnor;10
;;50-54 år;män;6
;;;kvinnor;9
;;55-59 år;män;8
;;;kvinnor;15
;;60-64 år;män;14
;;;kvinnor;33
0126 Huddinge;ogifta;20-24 år;män;3439
;;;kvinnor;3056
;;25-29 år;män;3275
;;;kvinnor;2508
;;30-34 år;män;2153
;;;kvinnor;1539
;;35-39 år;män;1601
;;;kvinnor;1208
;;40-44 år;män;1308
;;;kvinnor;1058
;;45-49 år;män;1064
;;;kvinnor;930
;;50-54 år;män;1049
;;;kvinnor;892
;;55-59 år;män;795
;;;kvinnor;604
;;60-64 år;män;552
;;;kvinnor;433
;gifta;20-24 år;män;74
;;;kvinnor;254
;;25-29 år;män;545
;;;kvinnor;1030
;;30-34 år;män;1465
;;;kvinnor;1852
;;35-39 år;män;2229
;;;kvinnor;2349
;;40-44 år;män;2581
;;;kvinnor;2543
;;45-49 år;män;2491
;;;kvinnor;2343
;;50-54 år;män;2300
;;;kvinnor;2018
;;55-59 år;män;1741
;;;kvinnor;1553
;;60-64 år;män;1459
;;;kvinnor;1273
;skilda;20-24 år;män;8
;;;kvinnor;14
;;25-29 år;män;55
;;;kvinnor;109
;;30-34 år;män;170
;;;kvinnor;290
;;35-39 år;män;320
;;;kvinnor;434
;;40-44 år;män;463
;;;kvinnor;556
;;45-49 år;män;535
;;;kvinnor;721
;;50-54 år;män;688
;;;kvinnor;747
;;55-59 år;män;572
;;;kvinnor;691
;;60-64 år;män;512
;;;kvinnor;569
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;1
;;;kvinnor;5
;;30-34 år;män;1
;;;kvinnor;5
;;35-39 år;män;2
;;;kvinnor;6
;;40-44 år;män;3
;;;kvinnor;27
;;45-49 år;män;14
;;;kvinnor;28
;;50-54 år;män;23
;;;kvinnor;60
;;55-59 år;män;25
;;;kvinnor;89
;;60-64 år;män;30
;;;kvinnor;116
0127 Botkyrka;ogifta;20-24 år;män;3046
;;;kvinnor;2577
;;25-29 år;män;2623
;;;kvinnor;1895
;;30-34 år;män;1696
;;;kvinnor;1155
;;35-39 år;män;1277
;;;kvinnor;811
;;40-44 år;män;929
;;;kvinnor;713
;;45-49 år;män;816
;;;kvinnor;588
;;50-54 år;män;736
;;;kvinnor;595
;;55-59 år;män;545
;;;kvinnor;397
;;60-64 år;män;397
;;;kvinnor;304
;gifta;20-24 år;män;104
;;;kvinnor;344
;;25-29 år;män;648
;;;kvinnor;1152
;;30-34 år;män;1372
;;;kvinnor;1696
;;35-39 år;män;1969
;;;kvinnor;1956
;;40-44 år;män;2021
;;;kvinnor;1927
;;45-49 år;män;1975
;;;kvinnor;1758
;;50-54 år;män;1817
;;;kvinnor;1596
;;55-59 år;män;1507
;;;kvinnor;1233
;;60-64 år;män;1320
;;;kvinnor;1068
;skilda;20-24 år;män;8
;;;kvinnor;32
;;25-29 år;män;98
;;;kvinnor;140
;;30-34 år;män;215
;;;kvinnor;319
;;35-39 år;män;402
;;;kvinnor;443
;;40-44 år;män;523
;;;kvinnor;642
;;45-49 år;män;549
;;;kvinnor;687
;;50-54 år;män;654
;;;kvinnor;799
;;55-59 år;män;568
;;;kvinnor;653
;;60-64 år;män;513
;;;kvinnor;550
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;0
;;;kvinnor;4
;;30-34 år;män;0
;;;kvinnor;1
;;35-39 år;män;3
;;;kvinnor;14
;;40-44 år;män;7
;;;kvinnor;17
;;45-49 år;män;7
;;;kvinnor;36
;;50-54 år;män;20
;;;kvinnor;55
;;55-59 år;män;21
;;;kvinnor;102
;;60-64 år;män;20
;;;kvinnor;142
0128 Salem;ogifta;20-24 år;män;470
;;;kvinnor;416
;;25-29 år;män;376
;;;kvinnor;326
;;30-34 år;män;235
;;;kvinnor;191
;;35-39 år;män;172
;;;kvinnor;155
;;40-44 år;män;197
;;;kvinnor;162
;;45-49 år;män;165
;;;kvinnor;164
;;50-54 år;män;149
;;;kvinnor;126
;;55-59 år;män;97
;;;kvinnor;79
;;60-64 år;män;60
;;;kvinnor;48
;gifta;20-24 år;män;4
;;;kvinnor;18
;;25-29 år;män;67
;;;kvinnor;113
;;30-34 år;män;152
;;;kvinnor;243
;;35-39 år;män;278
;;;kvinnor;320
;;40-44 år;män;350
;;;kvinnor;372
;;45-49 år;män;396
;;;kvinnor;406
;;50-54 år;män;402
;;;kvinnor;356
;;55-59 år;män;242
;;;kvinnor;213
;;60-64 år;män;191
;;;kvinnor;197
;skilda;20-24 år;män;2
;;;kvinnor;0
;;25-29 år;män;3
;;;kvinnor;14
;;30-34 år;män;12
;;;kvinnor;33
;;35-39 år;män;24
;;;kvinnor;54
;;40-44 år;män;67
;;;kvinnor;79
;;45-49 år;män;83
;;;kvinnor;105
;;50-54 år;män;86
;;;kvinnor;119
;;55-59 år;män;62
;;;kvinnor;69
;;60-64 år;män;64
;;;kvinnor;73
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;0
;;;kvinnor;1
;;30-34 år;män;0
;;;kvinnor;2
;;35-39 år;män;0
;;;kvinnor;0
;;40-44 år;män;0
;;;kvinnor;1
;;45-49 år;män;3
;;;kvinnor;9
;;50-54 år;män;4
;;;kvinnor;3
;;55-59 år;män;4
;;;kvinnor;12
;;60-64 år;män;7
;;;kvinnor;24
0136 Haninge;ogifta;20-24 år;män;2846
;;;kvinnor;2522
;;25-29 år;män;2932
;;;kvinnor;2289
;;30-34 år;män;1872
;;;kvinnor;1374
;;35-39 år;män;1388
;;;kvinnor;970
;;40-44 år;män;1172
;;;kvinnor;895
;;45-49 år;män;998
;;;kvinnor;779
;;50-54 år;män;910
;;;kvinnor;710
;;55-59 år;män;620
;;;kvinnor;491
;;60-64 år;män;419
;;;kvinnor;312
;gifta;20-24 år;män;78
;;;kvinnor;213
;;25-29 år;män;502
;;;kvinnor;852
;;30-34 år;män;1162
;;;kvinnor;1335
;;35-39 år;män;1563
;;;kvinnor;1623
;;40-44 år;män;1767
;;;kvinnor;1693
;;45-49 år;män;1722
;;;kvinnor;1554
;;50-54 år;män;1533
;;;kvinnor;1447
;;55-59 år;män;1246
;;;kvinnor;1151
;;60-64 år;män;1119
;;;kvinnor;995
;skilda;20-24 år;män;5
;;;kvinnor;21
;;25-29 år;män;58
;;;kvinnor;114
;;30-34 år;män;193
;;;kvinnor;249
;;35-39 år;män;297
;;;kvinnor;376
;;40-44 år;män;387
;;;kvinnor;468
;;45-49 år;män;482
;;;kvinnor;601
;;50-54 år;män;578
;;;kvinnor;709
;;55-59 år;män;482
;;;kvinnor;593
;;60-64 år;män;422
;;;kvinnor;516
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;1
;;25-29 år;män;0
;;;kvinnor;3
;;30-34 år;män;0
;;;kvinnor;10
;;35-39 år;män;2
;;;kvinnor;6
;;40-44 år;män;7
;;;kvinnor;16
;;45-49 år;män;9
;;;kvinnor;30
;;50-54 år;män;9
;;;kvinnor;58
;;55-59 år;män;15
;;;kvinnor;65
;;60-64 år;män;26
;;;kvinnor;92
0138 Tyresö;ogifta;20-24 år;män;1458
;;;kvinnor;1251
;;25-29 år;män;1184
;;;kvinnor;985
;;30-34 år;män;822
;;;kvinnor;655
;;35-39 år;män;631
;;;kvinnor;515
;;40-44 år;män;612
;;;kvinnor;538
;;45-49 år;män;585
;;;kvinnor;484
;;50-54 år;män;566
;;;kvinnor;473
;;55-59 år;män;368
;;;kvinnor;293
;;60-64 år;män;191
;;;kvinnor;173
;gifta;20-24 år;män;10
;;;kvinnor;40
;;25-29 år;män;132
;;;kvinnor;231
;;30-34 år;män;402
;;;kvinnor;524
;;35-39 år;män;703
;;;kvinnor;806
;;40-44 år;män;951
;;;kvinnor;1034
;;45-49 år;män;1153
;;;kvinnor;1113
;;50-54 år;män;1043
;;;kvinnor;981
;;55-59 år;män;742
;;;kvinnor;693
;;60-64 år;män;573
;;;kvinnor;527
;skilda;20-24 år;män;0
;;;kvinnor;2
;;25-29 år;män;14
;;;kvinnor;29
;;30-34 år;män;44
;;;kvinnor;82
;;35-39 år;män;88
;;;kvinnor;142
;;40-44 år;män;166
;;;kvinnor;209
;;45-49 år;män;226
;;;kvinnor;324
;;50-54 år;män;293
;;;kvinnor;370
;;55-59 år;män;263
;;;kvinnor;347
;;60-64 år;män;216
;;;kvinnor;263
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;0
;;;kvinnor;0
;;30-34 år;män;1
;;;kvinnor;3
;;35-39 år;män;0
;;;kvinnor;5
;;40-44 år;män;3
;;;kvinnor;9
;;45-49 år;män;5
;;;kvinnor;13
;;50-54 år;män;12
;;;kvinnor;16
;;55-59 år;män;10
;;;kvinnor;29
;;60-64 år;män;22
;;;kvinnor;47
0139 Upplands-Bro;ogifta;20-24 år;män;826
;;;kvinnor;648
;;25-29 år;män;904
;;;kvinnor;650
;;30-34 år;män;545
;;;kvinnor;415
;;35-39 år;män;410
;;;kvinnor;291
;;40-44 år;män;312
;;;kvinnor;235
;;45-49 år;män;285
;;;kvinnor;231
;;50-54 år;män;235
;;;kvinnor;237
;;55-59 år;män;180
;;;kvinnor;163
;;60-64 år;män;126
;;;kvinnor;111
;gifta;20-24 år;män;25
;;;kvinnor;54
;;25-29 år;män;124
;;;kvinnor;227
;;30-34 år;män;339
;;;kvinnor;412
;;35-39 år;män;515
;;;kvinnor;578
;;40-44 år;män;555
;;;kvinnor;570
;;45-49 år;män;556
;;;kvinnor;515
;;50-54 år;män;517
;;;kvinnor;485
;;55-59 år;män;450
;;;kvinnor;404
;;60-64 år;män;383
;;;kvinnor;342
;skilda;20-24 år;män;2
;;;kvinnor;5
;;25-29 år;män;12
;;;kvinnor;27
;;30-34 år;män;47
;;;kvinnor;66
;;35-39 år;män;92
;;;kvinnor;102
;;40-44 år;män;104
;;;kvinnor;159
;;45-49 år;män;120
;;;kvinnor;184
;;50-54 år;män;158
;;;kvinnor;182
;;55-59 år;män;175
;;;kvinnor;165
;;60-64 år;män;120
;;;kvinnor;157
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;0
;;;kvinnor;0
;;30-34 år;män;1
;;;kvinnor;0
;;35-39 år;män;3
;;;kvinnor;0
;;40-44 år;män;0
;;;kvinnor;7
;;45-49 år;män;2
;;;kvinnor;16
;;50-54 år;män;7
;;;kvinnor;12
;;55-59 år;män;9
;;;kvinnor;21
;;60-64 år;män;6
;;;kvinnor;33
0140 Nykvarn;ogifta;20-24 år;män;274
;;;kvinnor;220
;;25-29 år;män;240
;;;kvinnor;191
;;30-34 år;män;172
;;;kvinnor;136
;;35-39 år;män;134
;;;kvinnor;120
;;40-44 år;män;148
;;;kvinnor;127
;;45-49 år;män;135
;;;kvinnor;120
;;50-54 år;män;130
;;;kvinnor;108
;;55-59 år;män;103
;;;kvinnor;58
;;60-64 år;män;56
;;;kvinnor;38
;gifta;20-24 år;män;2
;;;kvinnor;4
;;25-29 år;män;31
;;;kvinnor;54
;;30-34 år;män;104
;;;kvinnor;130
;;35-39 år;män;160
;;;kvinnor;200
;;40-44 år;män;233
;;;kvinnor;233
;;45-49 år;män;227
;;;kvinnor;242
;;50-54 år;män;236
;;;kvinnor;217
;;55-59 år;män;161
;;;kvinnor;164
;;60-64 år;män;172
;;;kvinnor;165
;skilda;20-24 år;män;0
;;;kvinnor;1
;;25-29 år;män;2
;;;kvinnor;2
;;30-34 år;män;10
;;;kvinnor;16
;;35-39 år;män;16
;;;kvinnor;24
;;40-44 år;män;35
;;;kvinnor;48
;;45-49 år;män;50
;;;kvinnor;58
;;50-54 år;män;70
;;;kvinnor;67
;;55-59 år;män;53
;;;kvinnor;46
;;60-64 år;män;41
;;;kvinnor;33
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;0
;;;kvinnor;0
;;30-34 år;män;0
;;;kvinnor;0
;;35-39 år;män;0
;;;kvinnor;3
;;40-44 år;män;0
;;;kvinnor;2
;;45-49 år;män;1
;;;kvinnor;8
;;50-54 år;män;1
;;;kvinnor;5
;;55-59 år;män;4
;;;kvinnor;4
;;60-64 år;män;5
;;;kvinnor;19
0160 Täby;ogifta;20-24 år;män;1998
;;;kvinnor;1680
;;25-29 år;män;1624
;;;kvinnor;1393
;;30-34 år;män;1111
;;;kvinnor;765
;;35-39 år;män;815
;;;kvinnor;661
;;40-44 år;män;692
;;;kvinnor;619
;;45-49 år;män;621
;;;kvinnor;498
;;50-54 år;män;569
;;;kvinnor;503
;;55-59 år;män;387
;;;kvinnor;337
;;60-64 år;män;256
;;;kvinnor;208
;gifta;20-24 år;män;17
;;;kvinnor;42
;;25-29 år;män;124
;;;kvinnor;238
;;30-34 år;män;518
;;;kvinnor;770
;;35-39 år;män;1197
;;;kvinnor;1460
;;40-44 år;män;1681
;;;kvinnor;1762
;;45-49 år;män;1756
;;;kvinnor;1809
;;50-54 år;män;1708
;;;kvinnor;1609
;;55-59 år;män;1290
;;;kvinnor;1140
;;60-64 år;män;1061
;;;kvinnor;988
;skilda;20-24 år;män;0
;;;kvinnor;2
;;25-29 år;män;12
;;;kvinnor;24
;;30-34 år;män;42
;;;kvinnor;75
;;35-39 år;män;79
;;;kvinnor;135
;;40-44 år;män;181
;;;kvinnor;290
;;45-49 år;män;293
;;;kvinnor;434
;;50-54 år;män;453
;;;kvinnor;532
;;55-59 år;män;336
;;;kvinnor;431
;;60-64 år;män;283
;;;kvinnor;358
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;0
;;;kvinnor;0
;;30-34 år;män;0
;;;kvinnor;0
;;35-39 år;män;0
;;;kvinnor;2
;;40-44 år;män;6
;;;kvinnor;9
;;45-49 år;män;7
;;;kvinnor;16
;;50-54 år;män;13
;;;kvinnor;24
;;55-59 år;män;7
;;;kvinnor;38
;;60-64 år;män;20
;;;kvinnor;57
0162 Danderyd;ogifta;20-24 år;män;988
;;;kvinnor;880
;;25-29 år;män;805
;;;kvinnor;683
;;30-34 år;män;445
;;;kvinnor;350
;;35-39 år;män;295
;;;kvinnor;244
;;40-44 år;män;221
;;;kvinnor;186
;;45-49 år;män;223
;;;kvinnor;218
;;50-54 år;män;191
;;;kvinnor;191
;;55-59 år;män;148
;;;kvinnor;135
;;60-64 år;män;128
;;;kvinnor;106
;gifta;20-24 år;män;6
;;;kvinnor;12
;;25-29 år;män;53
;;;kvinnor;90
;;30-34 år;män;154
;;;kvinnor;270
;;35-39 år;män;405
;;;kvinnor;559
;;40-44 år;män;758
;;;kvinnor;913
;;45-49 år;män;902
;;;kvinnor;923
;;50-54 år;män;892
;;;kvinnor;833
;;55-59 år;män;638
;;;kvinnor;594
;;60-64 år;män;533
;;;kvinnor;486
;skilda;20-24 år;män;0
;;;kvinnor;2
;;25-29 år;män;1
;;;kvinnor;6
;;30-34 år;män;11
;;;kvinnor;12
;;35-39 år;män;32
;;;kvinnor;53
;;40-44 år;män;69
;;;kvinnor;108
;;45-49 år;män;118
;;;kvinnor;177
;;50-54 år;män;133
;;;kvinnor;204
;;55-59 år;män;160
;;;kvinnor;171
;;60-64 år;män;128
;;;kvinnor;160
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;1
;;25-29 år;män;0
;;;kvinnor;1
;;30-34 år;män;0
;;;kvinnor;0
;;35-39 år;män;0
;;;kvinnor;4
;;40-44 år;män;1
;;;kvinnor;2
;;45-49 år;män;2
;;;kvinnor;2
;;50-54 år;män;8
;;;kvinnor;15
;;55-59 år;män;7
;;;kvinnor;18
;;60-64 år;män;7
;;;kvinnor;38
0163 Sollentuna;ogifta;20-24 år;män;2069
;;;kvinnor;1802
;;25-29 år;män;1798
;;;kvinnor;1528
;;30-34 år;män;1251
;;;kvinnor;968
;;35-39 år;män;913
;;;kvinnor;710
;;40-44 år;män;776
;;;kvinnor;651
;;45-49 år;män;739
;;;kvinnor;591
;;50-54 år;män;564
;;;kvinnor;506
;;55-59 år;män;439
;;;kvinnor;362
;;60-64 år;män;303
;;;kvinnor;278
;gifta;20-24 år;män;38
;;;kvinnor;96
;;25-29 år;män;227
;;;kvinnor;464
;;30-34 år;män;732
;;;kvinnor;1020
;;35-39 år;män;1337
;;;kvinnor;1435
;;40-44 år;män;1653
;;;kvinnor;1762
;;45-49 år;män;1772
;;;kvinnor;1765
;;50-54 år;män;1655
;;;kvinnor;1540
;;55-59 år;män;1285
;;;kvinnor;1147
;;60-64 år;män;1035
;;;kvinnor;940
;skilda;20-24 år;män;1
;;;kvinnor;4
;;25-29 år;män;20
;;;kvinnor;39
;;30-34 år;män;84
;;;kvinnor;132
;;35-39 år;män;150
;;;kvinnor;215
;;40-44 år;män;228
;;;kvinnor;334
;;45-49 år;män;325
;;;kvinnor;446
;;50-54 år;män;408
;;;kvinnor;558
;;55-59 år;män;402
;;;kvinnor;471
;;60-64 år;män;327
;;;kvinnor;375
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;0
;;;kvinnor;1
;;30-34 år;män;0
;;;kvinnor;0
;;35-39 år;män;2
;;;kvinnor;4
;;40-44 år;män;4
;;;kvinnor;9
;;45-49 år;män;11
;;;kvinnor;19
;;50-54 år;män;7
;;;kvinnor;42
;;55-59 år;män;20
;;;kvinnor;52
;;60-64 år;män;21
;;;kvinnor;82
0180 Stockholm;ogifta;20-24 år;män;26631
;;;kvinnor;26513
;;25-29 år;män;39849
;;;kvinnor;39209
;;30-34 år;män;32681
;;;kvinnor;27430
;;35-39 år;män;21820
;;;kvinnor;17421
;;40-44 år;män;15032
;;;kvinnor;12041
;;45-49 år;män;11697
